T [K]; k [W/(mK)]
427; 5.75
453; 6.02
478; 6.31
503; 6.61
528; 6.90
554; 7.20
579; 7.49
604; 7.78
629; 8.07
655; 8.38
680; 8.67
705; 8.97
730; 9.28
756; 9.58
781; 9.89
806; 10.2
831; 10.5
857; 10.9
882; 11.2
907; 11.5
932; 11.8
958; 12.2
983; 12.5
1.01e+3; 12.9
1.03e+3; 13.2
1.06e+3; 13.5
1.08e+3; 13.9
1.11e+3; 14.3
1.13e+3; 14.6
1.16e+3; 15.0
1.18e+3; 15.3
1.21e+3; 15.7
1.24e+3; 16.1
1.26e+3; 16.5
1.28e+3; 17.0
1.31e+3; 17.6
1.33e+3; 18.2
1.35e+3; 18.8
1.37e+3; 19.3
1.39e+3; 19.7
1.42e+3; 20.4
1.44e+3; 20.8
1.47e+3; 21.0
1.52e+3; 22.0
1.60e+3; 23.1
1.70e+3; 24.4
1.79e+3; 26.0
1.85e+3; 26.8
